#P3

満ちている          みちている
店内                てんない
有線放送            ゆうせんほうそう
宣伝                せんでん
鼓膜                こまく
視線                しせん
反応                はんおう
身体                しんたい
勝手                かって
物色                ぶっしょく

#P4
視線                しせん
散ら                ばら
無数                むすう
納品                のうひん
菅原                すがわら｜すがもと
検品                けんぴん
清潔                せいけつ
整然                せいぜん
明太子              めんたいこ
端っこ              はしっこ
勝負                しょうぶ
染みこむ            しみこむ
肉体                にくたい
指示                しじ
微か                かすか
小銭                こぜに
振り向く            ふりむく
掌                  てのひら
煙草                たばこ
敏感                びんかん
案の定              あんのじょう
近付く              ちかづく
素早い              すばやい
待機　		        たいき
会釈　		        えしゃく

#P5
抜き取る　	        ぬきとり
移る　              うつる
消毒　              しょうどく
仕草　              しぐさ

#P6
反射                はんしゃ
不快                ふかい
細心                さいしん
正常                せいじょう
